task_index,task_id,subset,sample_index,description,video_a,video_b
0,T0000,spatial_temporal,0,"punching # 0.0 # 2.75 # left arm # right arm
straight-forward-flexion # 2.75 # 5.5 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0000_A_spatial_temporal_0000.mp4,mp4/T0000_B_spatial_temporal_0000.mp4
1,T0001,spatial_temporal,0,"punching # 0.0 # 2.75 # left arm # right arm
straight-forward-flexion # 2.75 # 5.5 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0001_A_spatial_temporal_0000.mp4,mp4/T0001_B_spatial_temporal_0000.mp4
2,T0002,spatial_temporal,0,"punching # 0.0 # 2.75 # left arm # right arm
straight-forward-flexion # 2.75 # 5.5 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0002_A_spatial_temporal_0000.mp4,mp4/T0002_B_spatial_temporal_0000.mp4
3,T0003,spatial_temporal,1,"raising-hand-and-jumping # 0.0 # 2.64 # head # left arm # legs # right arm # spine
pinching-back # 2.64 # 5.39 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0003_A_spatial_temporal_0001.mp4,mp4/T0003_B_spatial_temporal_0001.mp4
4,T0004,spatial_temporal,1,"raising-hand-and-jumping # 0.0 # 2.64 # head # left arm # legs # right arm # spine
pinching-back # 2.64 # 5.39 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0004_A_spatial_temporal_0001.mp4,mp4/T0004_B_spatial_temporal_0001.mp4
5,T0005,spatial_temporal,1,"raising-hand-and-jumping # 0.0 # 2.64 # head # left arm # legs # right arm # spine
pinching-back # 2.64 # 5.39 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0005_A_spatial_temporal_0001.mp4,mp4/T0005_B_spatial_temporal_0001.mp4
6,T0006,spatial_temporal,2,"standing-toe-touches # 0.0 # 2.65 # head # left arm # legs # right arm # spine
marking-time-and-knee-lifting # 2.65 # 5.4 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0006_A_spatial_temporal_0002.mp4,mp4/T0006_B_spatial_temporal_0002.mp4
7,T0007,spatial_temporal,2,"standing-toe-touches # 0.0 # 2.65 # head # left arm # legs # right arm # spine
marking-time-and-knee-lifting # 2.65 # 5.4 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0007_A_spatial_temporal_0002.mp4,mp4/T0007_B_spatial_temporal_0002.mp4
8,T0008,spatial_temporal,2,"standing-toe-touches # 0.0 # 2.65 # head # left arm # legs # right arm # spine
marking-time-and-knee-lifting # 2.65 # 5.4 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0008_A_spatial_temporal_0002.mp4,mp4/T0008_B_spatial_temporal_0002.mp4
9,T0009,spatial_temporal,3,"single-dumbbell-raising # 0.0 # 2.73 # left arm # right arm
standing-gastrocnemius-calf # 2.73 # 5.03 # head # left arm # legs # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0009_A_spatial_temporal_0003.mp4,mp4/T0009_B_spatial_temporal_0003.mp4
10,T0010,spatial_temporal,3,"single-dumbbell-raising # 0.0 # 2.73 # left arm # right arm
standing-gastrocnemius-calf # 2.73 # 5.03 # head # left arm # legs # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0010_A_spatial_temporal_0003.mp4,mp4/T0010_B_spatial_temporal_0003.mp4
11,T0011,spatial_temporal,3,"single-dumbbell-raising # 0.0 # 2.73 # left arm # right arm
standing-gastrocnemius-calf # 2.73 # 5.03 # head # left arm # legs # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0011_A_spatial_temporal_0003.mp4,mp4/T0011_B_spatial_temporal_0003.mp4
12,T0012,spatial_temporal,4,"single-leg-lateral-hopping # 0.0 # 2.75 # legs # spine
squatting # 2.75 # 5.5 # legs # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0012_A_spatial_temporal_0004.mp4,mp4/T0012_B_spatial_temporal_0004.mp4
13,T0013,spatial_temporal,4,"single-leg-lateral-hopping # 0.0 # 2.75 # legs # spine
squatting # 2.75 # 5.5 # legs # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0013_A_spatial_temporal_0004.mp4,mp4/T0013_B_spatial_temporal_0004.mp4
14,T0014,spatial_temporal,4,"single-leg-lateral-hopping # 0.0 # 2.75 # legs # spine
squatting # 2.75 # 5.5 # legs # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0014_A_spatial_temporal_0004.mp4,mp4/T0014_B_spatial_temporal_0004.mp4
15,T0015,spatial_temporal,5,"elbow-circling # 0.0 # 2.75 # left arm # right arm
left-kicking # 2.75 # 5.5 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0015_A_spatial_temporal_0005.mp4,mp4/T0015_B_spatial_temporal_0005.mp4
16,T0016,spatial_temporal,5,"elbow-circling # 0.0 # 2.75 # left arm # right arm
left-kicking # 2.75 # 5.5 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0016_A_spatial_temporal_0005.mp4,mp4/T0016_B_spatial_temporal_0005.mp4
17,T0017,spatial_temporal,5,"elbow-circling # 0.0 # 2.75 # left arm # right arm
left-kicking # 2.75 # 5.5 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0017_A_spatial_temporal_0005.mp4,mp4/T0017_B_spatial_temporal_0005.mp4
18,T0018,spatial_temporal,6,"upper-back-stretching # 0.0 # 2.35 # left arm # right arm
overhead-stretching # 2.35 # 5.1 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0018_A_spatial_temporal_0006.mp4,mp4/T0018_B_spatial_temporal_0006.mp4
19,T0019,spatial_temporal,6,"upper-back-stretching # 0.0 # 2.35 # left arm # right arm
overhead-stretching # 2.35 # 5.1 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0019_A_spatial_temporal_0006.mp4,mp4/T0019_B_spatial_temporal_0006.mp4
20,T0020,spatial_temporal,6,"upper-back-stretching # 0.0 # 2.35 # left arm # right arm
overhead-stretching # 2.35 # 5.1 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0020_A_spatial_temporal_0006.mp4,mp4/T0020_B_spatial_temporal_0006.mp4
21,T0021,spatial_temporal,7,"left-stretching # 0.0 # 2.73 # head # left arm # right arm # spine
pinching-back # 2.73 # 5.48 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0021_A_spatial_temporal_0007.mp4,mp4/T0021_B_spatial_temporal_0007.mp4
22,T0022,spatial_temporal,7,"left-stretching # 0.0 # 2.73 # head # left arm # right arm # spine
pinching-back # 2.73 # 5.48 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0022_A_spatial_temporal_0007.mp4,mp4/T0022_B_spatial_temporal_0007.mp4
23,T0023,spatial_temporal,7,"left-stretching # 0.0 # 2.73 # head # left arm # right arm # spine
pinching-back # 2.73 # 5.48 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0023_A_spatial_temporal_0007.mp4,mp4/T0023_B_spatial_temporal_0007.mp4
24,T0024,spatial_temporal,8,"forward-lunging # 0.0 # 2.75 # legs # spine
marking-time-and-knee-lifting # 2.75 # 5.41 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0024_A_spatial_temporal_0008.mp4,mp4/T0024_B_spatial_temporal_0008.mp4
25,T0025,spatial_temporal,8,"forward-lunging # 0.0 # 2.75 # legs # spine
marking-time-and-knee-lifting # 2.75 # 5.41 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0025_A_spatial_temporal_0008.mp4,mp4/T0025_B_spatial_temporal_0008.mp4
26,T0026,spatial_temporal,8,"forward-lunging # 0.0 # 2.75 # legs # spine
marking-time-and-knee-lifting # 2.75 # 5.41 # legs
left-kicking # 0.13 # 2.63 # legs",mp4/T0026_A_spatial_temporal_0008.mp4,mp4/T0026_B_spatial_temporal_0008.mp4
27,T0027,spatial_temporal,9,"standing-rotation # 0.0 # 2.68 # head # left arm # right arm # spine
straight-forward-flexion # 2.68 # 5.43 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0027_A_spatial_temporal_0009.mp4,mp4/T0027_B_spatial_temporal_0009.mp4
28,T0028,spatial_temporal,9,"standing-rotation # 0.0 # 2.68 # head # left arm # right arm # spine
straight-forward-flexion # 2.68 # 5.43 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0028_A_spatial_temporal_0009.mp4,mp4/T0028_B_spatial_temporal_0009.mp4
29,T0029,spatial_temporal,9,"standing-rotation # 0.0 # 2.68 # head # left arm # right arm # spine
straight-forward-flexion # 2.68 # 5.43 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0029_A_spatial_temporal_0009.mp4,mp4/T0029_B_spatial_temporal_0009.mp4
30,T0030,spatial_temporal,10,"rope-skipping # 0.0 # 2.75 # head # left arm # legs # right arm # spine
single-dumbbell-raising # 2.75 # 5.5 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0030_A_spatial_temporal_0010.mp4,mp4/T0030_B_spatial_temporal_0010.mp4
31,T0031,spatial_temporal,10,"rope-skipping # 0.0 # 2.75 # head # left arm # legs # right arm # spine
single-dumbbell-raising # 2.75 # 5.5 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0031_A_spatial_temporal_0010.mp4,mp4/T0031_B_spatial_temporal_0010.mp4
32,T0032,spatial_temporal,10,"rope-skipping # 0.0 # 2.75 # head # left arm # legs # right arm # spine
single-dumbbell-raising # 2.75 # 5.5 # left arm # right arm
left-kicking # 0.13 # 2.63 # legs",mp4/T0032_A_spatial_temporal_0010.mp4,mp4/T0032_B_spatial_temporal_0010.mp4
33,T0033,spatial_temporal,11,"pulling-chest-expanders # 0.0 # 2.5 # left arm # right arm
forward-lunging # 2.5 # 5.25 # legs # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0033_A_spatial_temporal_0011.mp4,mp4/T0033_B_spatial_temporal_0011.mp4
34,T0034,spatial_temporal,11,"pulling-chest-expanders # 0.0 # 2.5 # left arm # right arm
forward-lunging # 2.5 # 5.25 # legs # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0034_A_spatial_temporal_0011.mp4,mp4/T0034_B_spatial_temporal_0011.mp4
35,T0035,spatial_temporal,11,"pulling-chest-expanders # 0.0 # 2.5 # left arm # right arm
forward-lunging # 2.5 # 5.25 # legs # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0035_A_spatial_temporal_0011.mp4,mp4/T0035_B_spatial_temporal_0011.mp4
36,T0036,spatial_temporal,12,"elbow-circling # 0.0 # 2.6 # left arm # right arm
rotation-clapping # 2.6 # 5.35 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0036_A_spatial_temporal_0012.mp4,mp4/T0036_B_spatial_temporal_0012.mp4
37,T0037,spatial_temporal,12,"elbow-circling # 0.0 # 2.6 # left arm # right arm
rotation-clapping # 2.6 # 5.35 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0037_A_spatial_temporal_0012.mp4,mp4/T0037_B_spatial_temporal_0012.mp4
38,T0038,spatial_temporal,12,"elbow-circling # 0.0 # 2.6 # left arm # right arm
rotation-clapping # 2.6 # 5.35 # head # left arm # right arm # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0038_A_spatial_temporal_0012.mp4,mp4/T0038_B_spatial_temporal_0012.mp4
39,T0039,spatial_temporal,13,"high-knees-running # 0.0 # 2.75 # legs # spine
squatting # 2.75 # 5.41 # legs # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0039_A_spatial_temporal_0013.mp4,mp4/T0039_B_spatial_temporal_0013.mp4
40,T0040,spatial_temporal,13,"high-knees-running # 0.0 # 2.75 # legs # spine
squatting # 2.75 # 5.41 # legs # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0040_A_spatial_temporal_0013.mp4,mp4/T0040_B_spatial_temporal_0013.mp4
41,T0041,spatial_temporal,13,"high-knees-running # 0.0 # 2.75 # legs # spine
squatting # 2.75 # 5.41 # legs # spine
left-kicking # 0.13 # 2.63 # legs",mp4/T0041_A_spatial_temporal_0013.mp4,mp4/T0041_B_spatial_temporal_0013.mp4
42,T0042,spatial_temporal,14,"pinching-back # 0.0 # 2.4 # left arm # right arm
alternate-knee-lifting # 2.4 # 5.15 # legs
punching # 0.01 # 2.53# left arm # right arm",mp4/T0042_A_spatial_temporal_0014.mp4,mp4/T0042_B_spatial_temporal_0014.mp4
43,T0043,spatial_temporal,14,"pinching-back # 0.0 # 2.4 # left arm # right arm
alternate-knee-lifting # 2.4 # 5.15 # legs
punching # 0.01 # 2.53# left arm # right arm",mp4/T0043_A_spatial_temporal_0014.mp4,mp4/T0043_B_spatial_temporal_0014.mp4
44,T0044,spatial_temporal,14,"pinching-back # 0.0 # 2.4 # left arm # right arm
alternate-knee-lifting # 2.4 # 5.15 # legs
punching # 0.01 # 2.53# left arm # right arm",mp4/T0044_A_spatial_temporal_0014.mp4,mp4/T0044_B_spatial_temporal_0014.mp4
45,T0045,spatial_temporal,15,"left-stretching # 0.0 # 2.73 # head # left arm # right arm # spine
pinching-back # 2.73 # 5.48 # left arm # right arm
punching # 0.01 # 2.53# left arm # right arm",mp4/T0045_A_spatial_temporal_0015.mp4,mp4/T0045_B_spatial_temporal_0015.mp4
46,T0046,spatial_temporal,15,"left-stretching # 0.0 # 2.73 # head # left arm # right arm # spine
pinching-back # 2.73 # 5.48 # left arm # right arm
punching # 0.01 # 2.53# left arm # right arm",mp4/T0046_A_spatial_temporal_0015.mp4,mp4/T0046_B_spatial_temporal_0015.mp4
47,T0047,spatial_temporal,15,"left-stretching # 0.0 # 2.73 # head # left arm # right arm # spine
pinching-back # 2.73 # 5.48 # left arm # right arm
punching # 0.01 # 2.53# left arm # right arm",mp4/T0047_A_spatial_temporal_0015.mp4,mp4/T0047_B_spatial_temporal_0015.mp4
48,T0048,spatial_temporal,16,"left-stretching # 0.0 # 2.74 # head # left arm # right arm # spine
spinal-stretching # 2.74 # 5.49 # head # left arm # right arm # spine
punching # 0.01 # 2.53# left arm # right arm",mp4/T0048_A_spatial_temporal_0016.mp4,mp4/T0048_B_spatial_temporal_0016.mp4
49,T0049,spatial_temporal,16,"left-stretching # 0.0 # 2.74 # head # left arm # right arm # spine
spinal-stretching # 2.74 # 5.49 # head # left arm # right arm # spine
punching # 0.01 # 2.53# left arm # right arm",mp4/T0049_A_spatial_temporal_0016.mp4,mp4/T0049_B_spatial_temporal_0016.mp4
50,T0050,spatial_temporal,16,"left-stretching # 0.0 # 2.74 # head # left arm # right arm # spine
spinal-stretching # 2.74 # 5.49 # head # left arm # right arm # spine
punching # 0.01 # 2.53# left arm # right arm",mp4/T0050_A_spatial_temporal_0016.mp4,mp4/T0050_B_spatial_temporal_0016.mp4
51,T0051,spatial_temporal,17,"pinching-back # 0.0 # 2.75 # left arm # right arm
deltoid-muscle-stretching # 2.75 # 5.2 # left arm # right arm
punching # 0.01 # 2.53# left arm # right arm",mp4/T0051_A_spatial_temporal_0017.mp4,mp4/T0051_B_spatial_temporal_0017.mp4
52,T0052,spatial_temporal,17,"pinching-back # 0.0 # 2.75 # left arm # right arm
deltoid-muscle-stretching # 2.75 # 5.2 # left arm # right arm
punching # 0.01 # 2.53# left arm # right arm",mp4/T0052_A_spatial_temporal_0017.mp4,mp4/T0052_B_spatial_temporal_0017.mp4
53,T0053,spatial_temporal,17,"pinching-back # 0.0 # 2.75 # left arm # right arm
deltoid-muscle-stretching # 2.75 # 5.2 # left arm # right arm
punching # 0.01 # 2.53# left arm # right arm",mp4/T0053_A_spatial_temporal_0017.mp4,mp4/T0053_B_spatial_temporal_0017.mp4
54,T0054,spatial_temporal,18,"pulling-chest-expanders # 0.0 # 2.5 # left arm # right arm
forward-lunging # 2.5 # 5.25 # legs # spine
punching # 0.01 # 2.53# left arm # right arm",mp4/T0054_A_spatial_temporal_0018.mp4,mp4/T0054_B_spatial_temporal_0018.mp4
55,T0055,spatial_temporal,18,"pulling-chest-expanders # 0.0 # 2.5 # left arm # right arm
forward-lunging # 2.5 # 5.25 # legs # spine
punching # 0.01 # 2.53# left arm # right arm",mp4/T0055_A_spatial_temporal_0018.mp4,mp4/T0055_B_spatial_temporal_0018.mp4
56,T0056,spatial_temporal,18,"pulling-chest-expanders # 0.0 # 2.5 # left arm # right arm
forward-lunging # 2.5 # 5.25 # legs # spine
punching # 0.01 # 2.53# left arm # right arm",mp4/T0056_A_spatial_temporal_0018.mp4,mp4/T0056_B_spatial_temporal_0018.mp4
57,T0057,spatial_temporal,19,"rope-skipping # 0.0 # 2.75 # head # left arm # legs # right arm # spine
wrist-circling # 2.75 # 5.5 # left arm # right arm
punching # 0.01 # 2.53# left arm # right arm",mp4/T0057_A_spatial_temporal_0019.mp4,mp4/T0057_B_spatial_temporal_0019.mp4
58,T0058,spatial_temporal,19,"rope-skipping # 0.0 # 2.75 # head # left arm # legs # right arm # spine
wrist-circling # 2.75 # 5.5 # left arm # right arm
punching # 0.01 # 2.53# left arm # right arm",mp4/T0058_A_spatial_temporal_0019.mp4,mp4/T0058_B_spatial_temporal_0019.mp4
59,T0059,spatial_temporal,19,"rope-skipping # 0.0 # 2.75 # head # left arm # legs # right arm # spine
wrist-circling # 2.75 # 5.5 # left arm # right arm
punching # 0.01 # 2.53# left arm # right arm",mp4/T0059_A_spatial_temporal_0019.mp4,mp4/T0059_B_spatial_temporal_0019.mp4
60,T0060,temporal,0,"bent-over-twist # 0.0 # 2.5 # head # left arm # right arm # spine
left-stretching # 2.5 # 5.0 # head # left arm # right arm # spine
punching-and-knee-lifting # 5.0 # 7.5 # left arm # legs # right arm
left-lunging # 7.5 # 10.0 # legs # spine
jumping-jack # 10.0 # 12.5 # head # left arm # legs # right arm # spine
forward-lunging # 12.5 # 15.0 # legs # spine",mp4/T0060_A_temporal_0000.mp4,mp4/T0060_B_temporal_0000.mp4
61,T0061,temporal,0,"bent-over-twist # 0.0 # 2.5 # head # left arm # right arm # spine
left-stretching # 2.5 # 5.0 # head # left arm # right arm # spine
punching-and-knee-lifting # 5.0 # 7.5 # left arm # legs # right arm
left-lunging # 7.5 # 10.0 # legs # spine
jumping-jack # 10.0 # 12.5 # head # left arm # legs # right arm # spine
forward-lunging # 12.5 # 15.0 # legs # spine",mp4/T0061_A_temporal_0000.mp4,mp4/T0061_B_temporal_0000.mp4
62,T0062,temporal,0,"bent-over-twist # 0.0 # 2.5 # head # left arm # right arm # spine
left-stretching # 2.5 # 5.0 # head # left arm # right arm # spine
punching-and-knee-lifting # 5.0 # 7.5 # left arm # legs # right arm
left-lunging # 7.5 # 10.0 # legs # spine
jumping-jack # 10.0 # 12.5 # head # left arm # legs # right arm # spine
forward-lunging # 12.5 # 15.0 # legs # spine",mp4/T0062_A_temporal_0000.mp4,mp4/T0062_B_temporal_0000.mp4
63,T0063,temporal,1,"single-dumbbell-raising # 0.0 # 2.5 # left arm # right arm
upper-back-stretching # 2.5 # 4.85 # left arm # right arm
deltoid-muscle-stretching # 4.85 # 7.36 # left arm # right arm
single-leg-lateral-hopping # 7.36 # 9.71 # legs # spine
spinal-stretching # 9.71 # 12.22 # head # left arm # right arm # spine
alternate-knee-lifting # 12.22 # 14.57 # legs",mp4/T0063_A_temporal_0001.mp4,mp4/T0063_B_temporal_0001.mp4
64,T0064,temporal,1,"single-dumbbell-raising # 0.0 # 2.5 # left arm # right arm
upper-back-stretching # 2.5 # 4.85 # left arm # right arm
deltoid-muscle-stretching # 4.85 # 7.36 # left arm # right arm
single-leg-lateral-hopping # 7.36 # 9.71 # legs # spine
spinal-stretching # 9.71 # 12.22 # head # left arm # right arm # spine
alternate-knee-lifting # 12.22 # 14.57 # legs",mp4/T0064_A_temporal_0001.mp4,mp4/T0064_B_temporal_0001.mp4
65,T0065,temporal,1,"single-dumbbell-raising # 0.0 # 2.5 # left arm # right arm
upper-back-stretching # 2.5 # 4.85 # left arm # right arm
deltoid-muscle-stretching # 4.85 # 7.36 # left arm # right arm
single-leg-lateral-hopping # 7.36 # 9.71 # legs # spine
spinal-stretching # 9.71 # 12.22 # head # left arm # right arm # spine
alternate-knee-lifting # 12.22 # 14.57 # legs",mp4/T0065_A_temporal_0001.mp4,mp4/T0065_B_temporal_0001.mp4
66,T0066,temporal,2,"standing-gastrocnemius-calf # 0.0 # 2.5 # head # left arm # legs # right arm # spine
high-knees-running # 2.5 # 5.0 # legs
left-stretching # 5.0 # 7.5 # head # left arm # right arm # spine
arm-circling # 7.5 # 10.0 # left arm # right arm
pinching-back # 10.0 # 12.5 # left arm # right arm
overhead-stretching # 12.5 # 15.0 # left arm # right arm",mp4/T0066_A_temporal_0002.mp4,mp4/T0066_B_temporal_0002.mp4
67,T0067,temporal,2,"standing-gastrocnemius-calf # 0.0 # 2.5 # head # left arm # legs # right arm # spine
high-knees-running # 2.5 # 5.0 # legs
left-stretching # 5.0 # 7.5 # head # left arm # right arm # spine
arm-circling # 7.5 # 10.0 # left arm # right arm
pinching-back # 10.0 # 12.5 # left arm # right arm
overhead-stretching # 12.5 # 15.0 # left arm # right arm",mp4/T0067_A_temporal_0002.mp4,mp4/T0067_B_temporal_0002.mp4
68,T0068,temporal,2,"standing-gastrocnemius-calf # 0.0 # 2.5 # head # left arm # legs # right arm # spine
high-knees-running # 2.5 # 5.0 # legs
left-stretching # 5.0 # 7.5 # head # left arm # right arm # spine
arm-circling # 7.5 # 10.0 # left arm # right arm
pinching-back # 10.0 # 12.5 # left arm # right arm
overhead-stretching # 12.5 # 15.0 # left arm # right arm",mp4/T0068_A_temporal_0002.mp4,mp4/T0068_B_temporal_0002.mp4
69,T0069,temporal,3,"marking-time-and-knee-lifting # 0.0 # 2.19 # legs
standing-rotation # 2.19 # 4.58 # head # left arm # right arm # spine
overhead-stretching # 4.58 # 6.77 # left arm # right arm
knee-circling # 6.77 # 9.16 # legs # spine
rotation-clapping # 9.16 # 11.35 # head # left arm # right arm # spine
forward-lunging # 11.35 # 13.74 # legs # spine",mp4/T0069_A_temporal_0003.mp4,mp4/T0069_B_temporal_0003.mp4
70,T0070,temporal,3,"marking-time-and-knee-lifting # 0.0 # 2.19 # legs
standing-rotation # 2.19 # 4.58 # head # left arm # right arm # spine
overhead-stretching # 4.58 # 6.77 # left arm # right arm
knee-circling # 6.77 # 9.16 # legs # spine
rotation-clapping # 9.16 # 11.35 # head # left arm # right arm # spine
forward-lunging # 11.35 # 13.74 # legs # spine",mp4/T0070_A_temporal_0003.mp4,mp4/T0070_B_temporal_0003.mp4
71,T0071,temporal,3,"marking-time-and-knee-lifting # 0.0 # 2.19 # legs
standing-rotation # 2.19 # 4.58 # head # left arm # right arm # spine
overhead-stretching # 4.58 # 6.77 # left arm # right arm
knee-circling # 6.77 # 9.16 # legs # spine
rotation-clapping # 9.16 # 11.35 # head # left arm # right arm # spine
forward-lunging # 11.35 # 13.74 # legs # spine",mp4/T0071_A_temporal_0003.mp4,mp4/T0071_B_temporal_0003.mp4
72,T0072,temporal,4,"punching-and-knee-lifting # 0.0 # 2.43 # left arm # legs # right arm
high-knees-running # 2.43 # 4.93 # legs
knee-circling # 4.93 # 7.36 # legs # spine
arm-circling # 7.36 # 9.86 # left arm # right arm
punching # 9.86 # 12.29 # left arm # right arm
bent-over-twist # 12.29 # 14.79 # head # left arm # right arm # spine",mp4/T0072_A_temporal_0004.mp4,mp4/T0072_B_temporal_0004.mp4
