task_index,task_id,subset,sample_index,description,video_a,video_b
73,T0073,temporal,4,"punching-and-knee-lifting # 0.0 # 2.43 # left arm # legs # right arm
high-knees-running # 2.43 # 4.93 # legs
knee-circling # 4.93 # 7.36 # legs # spine
arm-circling # 7.36 # 9.86 # left arm # right arm
punching # 9.86 # 12.29 # left arm # right arm
bent-over-twist # 12.29 # 14.79 # head # left arm # right arm # spine",mp4/T0073_A_temporal_0004.mp4,mp4/T0073_B_temporal_0004.mp4
74,T0074,temporal,4,"punching-and-knee-lifting # 0.0 # 2.43 # left arm # legs # right arm
high-knees-running # 2.43 # 4.93 # legs
knee-circling # 4.93 # 7.36 # legs # spine
arm-circling # 7.36 # 9.86 # left arm # right arm
punching # 9.86 # 12.29 # left arm # right arm
bent-over-twist # 12.29 # 14.79 # head # left arm # right arm # spine",mp4/T0074_A_temporal_0004.mp4,mp4/T0074_B_temporal_0004.mp4
75,T0075,temporal,5,"knee-to-chest # 0.0 # 2.5 # legs # spine
pinching-back # 2.5 # 5.0 # left arm # right arm
standing-toe-touches # 5.0 # 7.5 # head # left arm # legs # right arm # spine
dumbbell-side-bend # 7.5 # 10.0 # head # left arm # right arm # spine
dumbbell-shrugging # 10.0 # 12.5 # left arm # right arm
straight-forward-flexion # 12.5 # 15.0 # head # left arm # right arm # spine",mp4/T0075_A_temporal_0005.mp4,mp4/T0075_B_temporal_0005.mp4
76,T0076,temporal,5,"knee-to-chest # 0.0 # 2.5 # legs # spine
pinching-back # 2.5 # 5.0 # left arm # right arm
standing-toe-touches # 5.0 # 7.5 # head # left arm # legs # right arm # spine
dumbbell-side-bend # 7.5 # 10.0 # head # left arm # right arm # spine
dumbbell-shrugging # 10.0 # 12.5 # left arm # right arm
straight-forward-flexion # 12.5 # 15.0 # head # left arm # right arm # spine",mp4/T0076_A_temporal_0005.mp4,mp4/T0076_B_temporal_0005.mp4
77,T0077,temporal,5,"knee-to-chest # 0.0 # 2.5 # legs # spine
pinching-back # 2.5 # 5.0 # left arm # right arm
standing-toe-touches # 5.0 # 7.5 # head # left arm # legs # right arm # spine
dumbbell-side-bend # 7.5 # 10.0 # head # left arm # right arm # spine
dumbbell-shrugging # 10.0 # 12.5 # left arm # right arm
straight-forward-flexion # 12.5 # 15.0 # head # left arm # right arm # spine",mp4/T0077_A_temporal_0005.mp4,mp4/T0077_B_temporal_0005.mp4
78,T0078,temporal,6,"spinal-stretching # 0.0 # 2.36 # head # left arm # right arm # spine
standing-gastrocnemius-calf # 2.36 # 4.85 # head # left arm # legs # right arm # spine
dumbbell-side-bend # 4.85 # 7.21 # head # left arm # right arm # spine
standing-gastrocnemius-calf # 7.21 # 9.71 # head # left arm # legs # right arm # spine
rope-skipping # 9.71 # 12.07 # head # left arm # legs # right arm # spine
squatting # 12.07 # 14.57 # legs # spine",mp4/T0078_A_temporal_0006.mp4,mp4/T0078_B_temporal_0006.mp4
79,T0079,temporal,6,"spinal-stretching # 0.0 # 2.36 # head # left arm # right arm # spine
standing-gastrocnemius-calf # 2.36 # 4.85 # head # left arm # legs # right arm # spine
dumbbell-side-bend # 4.85 # 7.21 # head # left arm # right arm # spine
standing-gastrocnemius-calf # 7.21 # 9.71 # head # left arm # legs # right arm # spine
rope-skipping # 9.71 # 12.07 # head # left arm # legs # right arm # spine
squatting # 12.07 # 14.57 # legs # spine",mp4/T0079_A_temporal_0006.mp4,mp4/T0079_B_temporal_0006.mp4
80,T0080,temporal,6,"spinal-stretching # 0.0 # 2.36 # head # left arm # right arm # spine
standing-gastrocnemius-calf # 2.36 # 4.85 # head # left arm # legs # right arm # spine
dumbbell-side-bend # 4.85 # 7.21 # head # left arm # right arm # spine
standing-gastrocnemius-calf # 7.21 # 9.71 # head # left arm # legs # right arm # spine
rope-skipping # 9.71 # 12.07 # head # left arm # legs # right arm # spine
squatting # 12.07 # 14.57 # legs # spine",mp4/T0080_A_temporal_0006.mp4,mp4/T0080_B_temporal_0006.mp4
81,T0081,temporal,7,"0007 elbow-circling # 0.0 # 2.35 # left arm # right arm
high-knees-running # 2.35 # 4.83 # legs
punching-and-knee-lifting # 4.83 # 7.18 # left arm # legs # right arm
standing-rotation # 7.18 # 9.66 # head # left arm # right arm # spine
bent-over-twist # 9.66 # 12.01 # head # left arm # right arm # spine
dumbbell-one-arm-shoulder-pressing # 12.01 # 14.49 # left arm # right arm",mp4/T0081_A_temporal_0007.mp4,mp4/T0081_B_temporal_0007.mp4
82,T0082,temporal,7,"0007 elbow-circling # 0.0 # 2.35 # left arm # right arm
high-knees-running # 2.35 # 4.83 # legs
punching-and-knee-lifting # 4.83 # 7.18 # left arm # legs # right arm
standing-rotation # 7.18 # 9.66 # head # left arm # right arm # spine
bent-over-twist # 9.66 # 12.01 # head # left arm # right arm # spine
dumbbell-one-arm-shoulder-pressing # 12.01 # 14.49 # left arm # right arm",mp4/T0082_A_temporal_0007.mp4,mp4/T0082_B_temporal_0007.mp4
83,T0083,temporal,7,"0007 elbow-circling # 0.0 # 2.35 # left arm # right arm
high-knees-running # 2.35 # 4.83 # legs
punching-and-knee-lifting # 4.83 # 7.18 # left arm # legs # right arm
standing-rotation # 7.18 # 9.66 # head # left arm # right arm # spine
bent-over-twist # 9.66 # 12.01 # head # left arm # right arm # spine
dumbbell-one-arm-shoulder-pressing # 12.01 # 14.49 # left arm # right arm",mp4/T0083_A_temporal_0007.mp4,mp4/T0083_B_temporal_0007.mp4
84,T0084,temporal,8,"straight-forward-flexion # 0.0 # 2.27 # head # left arm # right arm # spine
arm-circling # 2.27 # 4.76 # left arm # right arm
rope-skipping # 4.76 # 7.03 # head # left arm # legs # right arm # spine
rope-skipping # 7.03 # 9.53 # head # left arm # legs # right arm # spine
rotation-clapping # 9.53 # 11.8 # head # left arm # right arm # spine
head-anticlockwise-circling # 11.8 # 14.3 # head",mp4/T0084_A_temporal_0008.mp4,mp4/T0084_B_temporal_0008.mp4
85,T0085,temporal,8,"straight-forward-flexion # 0.0 # 2.27 # head # left arm # right arm # spine
arm-circling # 2.27 # 4.76 # left arm # right arm
rope-skipping # 4.76 # 7.03 # head # left arm # legs # right arm # spine
rope-skipping # 7.03 # 9.53 # head # left arm # legs # right arm # spine
rotation-clapping # 9.53 # 11.8 # head # left arm # right arm # spine
head-anticlockwise-circling # 11.8 # 14.3 # head",mp4/T0085_A_temporal_0008.mp4,mp4/T0085_B_temporal_0008.mp4
86,T0086,temporal,8,"straight-forward-flexion # 0.0 # 2.27 # head # left arm # right arm # spine
arm-circling # 2.27 # 4.76 # left arm # right arm
rope-skipping # 4.76 # 7.03 # head # left arm # legs # right arm # spine
rope-skipping # 7.03 # 9.53 # head # left arm # legs # right arm # spine
rotation-clapping # 9.53 # 11.8 # head # left arm # right arm # spine
head-anticlockwise-circling # 11.8 # 14.3 # head",mp4/T0086_A_temporal_0008.mp4,mp4/T0086_B_temporal_0008.mp4
87,T0087,temporal,9,"standing-gastrocnemius-calf # 0.0 # 2.5 # head # left arm # legs # right arm # spine
left-lunging # 2.5 # 5.0 # legs # spine
knee-to-chest # 5.0 # 7.5 # legs # spine
forward-lunging # 7.5 # 10.0 # legs # spine
dumbbell-side-bend # 10.0 # 12.5 # head # left arm # right arm # spine
standing-gastrocnemius-calf # 12.5 # 15.0 # head # left arm # legs # right arm # spine",mp4/T0087_A_temporal_0009.mp4,mp4/T0087_B_temporal_0009.mp4
88,T0088,temporal,9,"standing-gastrocnemius-calf # 0.0 # 2.5 # head # left arm # legs # right arm # spine
left-lunging # 2.5 # 5.0 # legs # spine
knee-to-chest # 5.0 # 7.5 # legs # spine
forward-lunging # 7.5 # 10.0 # legs # spine
dumbbell-side-bend # 10.0 # 12.5 # head # left arm # right arm # spine
standing-gastrocnemius-calf # 12.5 # 15.0 # head # left arm # legs # right arm # spine",mp4/T0088_A_temporal_0009.mp4,mp4/T0088_B_temporal_0009.mp4
89,T0089,temporal,9,"standing-gastrocnemius-calf # 0.0 # 2.5 # head # left arm # legs # right arm # spine
left-lunging # 2.5 # 5.0 # legs # spine
knee-to-chest # 5.0 # 7.5 # legs # spine
forward-lunging # 7.5 # 10.0 # legs # spine
dumbbell-side-bend # 10.0 # 12.5 # head # left arm # right arm # spine
standing-gastrocnemius-calf # 12.5 # 15.0 # head # left arm # legs # right arm # spine",mp4/T0089_A_temporal_0009.mp4,mp4/T0089_B_temporal_0009.mp4
90,T0090,temporal,10,"0010 left-kicking # 0.0 # 2.5 # legs
rope-skipping # 2.5 # 5.0 # head # left arm # legs # right arm # spine
jumping-jack # 5.0 # 7.5 # head # left arm # legs # right arm # spine
pinching-back # 7.5 # 10.0 # left arm # right arm
alternate-knee-lifting # 10.0 # 12.5 # legs
standing-rotation # 12.5 # 15.0 # head # left arm # right arm # spine",mp4/T0090_A_temporal_0010.mp4,mp4/T0090_B_temporal_0010.mp4
91,T0091,temporal,10,"0010 left-kicking # 0.0 # 2.5 # legs
rope-skipping # 2.5 # 5.0 # head # left arm # legs # right arm # spine
jumping-jack # 5.0 # 7.5 # head # left arm # legs # right arm # spine
pinching-back # 7.5 # 10.0 # left arm # right arm
alternate-knee-lifting # 10.0 # 12.5 # legs
standing-rotation # 12.5 # 15.0 # head # left arm # right arm # spine",mp4/T0091_A_temporal_0010.mp4,mp4/T0091_B_temporal_0010.mp4
92,T0092,temporal,10,"0010 left-kicking # 0.0 # 2.5 # legs
rope-skipping # 2.5 # 5.0 # head # left arm # legs # right arm # spine
jumping-jack # 5.0 # 7.5 # head # left arm # legs # right arm # spine
pinching-back # 7.5 # 10.0 # left arm # right arm
alternate-knee-lifting # 10.0 # 12.5 # legs
standing-rotation # 12.5 # 15.0 # head # left arm # right arm # spine",mp4/T0092_A_temporal_0010.mp4,mp4/T0092_B_temporal_0010.mp4
93,T0093,temporal,11,"left-lunging # 0.0 # 2.5 # legs # spine
left-kicking # 2.5 # 5.0 # legs
jumping-jack # 5.0 # 7.5 # head # left arm # legs # right arm # spine
left-stretching # 7.5 # 10.0 # head # left arm # right arm # spine
raising-hand-and-jumping # 10.0 # 12.5 # head # left arm # legs # right arm # spine
raising-hand-and-jumping # 12.5 # 15.0 # head # left arm # legs # right arm # spine",mp4/T0093_A_temporal_0011.mp4,mp4/T0093_B_temporal_0011.mp4
94,T0094,temporal,11,"left-lunging # 0.0 # 2.5 # legs # spine
left-kicking # 2.5 # 5.0 # legs
jumping-jack # 5.0 # 7.5 # head # left arm # legs # right arm # spine
left-stretching # 7.5 # 10.0 # head # left arm # right arm # spine
raising-hand-and-jumping # 10.0 # 12.5 # head # left arm # legs # right arm # spine
raising-hand-and-jumping # 12.5 # 15.0 # head # left arm # legs # right arm # spine",mp4/T0094_A_temporal_0011.mp4,mp4/T0094_B_temporal_0011.mp4
95,T0095,temporal,11,"left-lunging # 0.0 # 2.5 # legs # spine
left-kicking # 2.5 # 5.0 # legs
jumping-jack # 5.0 # 7.5 # head # left arm # legs # right arm # spine
left-stretching # 7.5 # 10.0 # head # left arm # right arm # spine
raising-hand-and-jumping # 10.0 # 12.5 # head # left arm # legs # right arm # spine
raising-hand-and-jumping # 12.5 # 15.0 # head # left arm # legs # right arm # spine",mp4/T0095_A_temporal_0011.mp4,mp4/T0095_B_temporal_0011.mp4
96,T0096,temporal,12,"alternate-knee-lifting # 0.0 # 2.5 # legs
straight-forward-flexion # 2.5 # 4.93 # head # left arm # right arm # spine
standing-rotation # 4.93 # 7.43 # head # left arm # right arm # spine
rope-skipping # 7.43 # 9.86 # head # left arm # legs # right arm # spine
elbow-circling # 9.86 # 12.36 # left arm # right arm
squatting # 12.36 # 14.79 # legs # spine",mp4/T0096_A_temporal_0012.mp4,mp4/T0096_B_temporal_0012.mp4
97,T0097,temporal,12,"alternate-knee-lifting # 0.0 # 2.5 # legs
straight-forward-flexion # 2.5 # 4.93 # head # left arm # right arm # spine
standing-rotation # 4.93 # 7.43 # head # left arm # right arm # spine
rope-skipping # 7.43 # 9.86 # head # left arm # legs # right arm # spine
elbow-circling # 9.86 # 12.36 # left arm # right arm
squatting # 12.36 # 14.79 # legs # spine",mp4/T0097_A_temporal_0012.mp4,mp4/T0097_B_temporal_0012.mp4
98,T0098,temporal,12,"alternate-knee-lifting # 0.0 # 2.5 # legs
straight-forward-flexion # 2.5 # 4.93 # head # left arm # right arm # spine
standing-rotation # 4.93 # 7.43 # head # left arm # right arm # spine
rope-skipping # 7.43 # 9.86 # head # left arm # legs # right arm # spine
elbow-circling # 9.86 # 12.36 # left arm # right arm
squatting # 12.36 # 14.79 # legs # spine",mp4/T0098_A_temporal_0012.mp4,mp4/T0098_B_temporal_0012.mp4
99,T0099,temporal,13,"punching-and-knee-lifting # 0.0 # 2.5 # left arm # legs # right arm
jumping-jack # 2.5 # 4.29 # head # left arm # legs # right arm # spine
knee-circling # 4.29 # 6.79 # legs # spine
alternate-knee-lifting # 6.79 # 8.58 # legs
rotation-clapping # 8.58 # 11.08 # head # left arm # right arm # spine
forward-lunging # 11.08 # 12.87 # legs # spine",mp4/T0099_A_temporal_0013.mp4,mp4/T0099_B_temporal_0013.mp4
100,T0100,temporal,13,"punching-and-knee-lifting # 0.0 # 2.5 # left arm # legs # right arm
jumping-jack # 2.5 # 4.29 # head # left arm # legs # right arm # spine
knee-circling # 4.29 # 6.79 # legs # spine
alternate-knee-lifting # 6.79 # 8.58 # legs
rotation-clapping # 8.58 # 11.08 # head # left arm # right arm # spine
forward-lunging # 11.08 # 12.87 # legs # spine",mp4/T0100_A_temporal_0013.mp4,mp4/T0100_B_temporal_0013.mp4
101,T0101,temporal,13,"punching-and-knee-lifting # 0.0 # 2.5 # left arm # legs # right arm
jumping-jack # 2.5 # 4.29 # head # left arm # legs # right arm # spine
knee-circling # 4.29 # 6.79 # legs # spine
alternate-knee-lifting # 6.79 # 8.58 # legs
rotation-clapping # 8.58 # 11.08 # head # left arm # right arm # spine
forward-lunging # 11.08 # 12.87 # legs # spine",mp4/T0101_A_temporal_0013.mp4,mp4/T0101_B_temporal_0013.mp4
102,T0102,temporal,14,"knee-to-chest # 0.0 # 2.37 # legs # spine
wrist-circling # 2.37 # 4.87 # left arm # right arm
standing-opposite-elbow-to-knee-crunch # 4.87 # 7.24 # head # left arm # legs # right arm # spine
standing-opposite-elbow-to-knee-crunch # 7.24 # 9.74 # head # left arm # legs # right arm # spine
jumping-jack # 9.74 # 12.11 # head # left arm # legs # right arm # spine
squatting # 12.11 # 14.61 # legs # spine",mp4/T0102_A_temporal_0014.mp4,mp4/T0102_B_temporal_0014.mp4
103,T0103,temporal,14,"knee-to-chest # 0.0 # 2.37 # legs # spine
wrist-circling # 2.37 # 4.87 # left arm # right arm
standing-opposite-elbow-to-knee-crunch # 4.87 # 7.24 # head # left arm # legs # right arm # spine
standing-opposite-elbow-to-knee-crunch # 7.24 # 9.74 # head # left arm # legs # right arm # spine
jumping-jack # 9.74 # 12.11 # head # left arm # legs # right arm # spine
squatting # 12.11 # 14.61 # legs # spine",mp4/T0103_A_temporal_0014.mp4,mp4/T0103_B_temporal_0014.mp4
104,T0104,temporal,14,"knee-to-chest # 0.0 # 2.37 # legs # spine
wrist-circling # 2.37 # 4.87 # left arm # right arm
standing-opposite-elbow-to-knee-crunch # 4.87 # 7.24 # head # left arm # legs # right arm # spine
standing-opposite-elbow-to-knee-crunch # 7.24 # 9.74 # head # left arm # legs # right arm # spine
jumping-jack # 9.74 # 12.11 # head # left arm # legs # right arm # spine
squatting # 12.11 # 14.61 # legs # spine",mp4/T0104_A_temporal_0014.mp4,mp4/T0104_B_temporal_0014.mp4
105,T0105,temporal,15,"spinal-stretching # 0.0 # 2.39 # head # left arm # right arm # spine
front-raising # 2.39 # 4.89 # left arm # right arm
head-anticlockwise-circling # 4.89 # 7.28 # head
standing-gastrocnemius-calf # 7.28 # 9.78 # head # left arm # legs # right arm # spine
alternate-knee-lifting # 9.78 # 12.17 # legs
left-kicking # 12.17 # 14.67 # legs",mp4/T0105_A_temporal_0015.mp4,mp4/T0105_B_temporal_0015.mp4
106,T0106,temporal,15,"spinal-stretching # 0.0 # 2.39 # head # left arm # right arm # spine
front-raising # 2.39 # 4.89 # left arm # right arm
head-anticlockwise-circling # 4.89 # 7.28 # head
standing-gastrocnemius-calf # 7.28 # 9.78 # head # left arm # legs # right arm # spine
alternate-knee-lifting # 9.78 # 12.17 # legs
left-kicking # 12.17 # 14.67 # legs",mp4/T0106_A_temporal_0015.mp4,mp4/T0106_B_temporal_0015.mp4
107,T0107,temporal,15,"spinal-stretching # 0.0 # 2.39 # head # left arm # right arm # spine
front-raising # 2.39 # 4.89 # left arm # right arm
head-anticlockwise-circling # 4.89 # 7.28 # head
standing-gastrocnemius-calf # 7.28 # 9.78 # head # left arm # legs # right arm # spine
alternate-knee-lifting # 9.78 # 12.17 # legs
left-kicking # 12.17 # 14.67 # legs",mp4/T0107_A_temporal_0015.mp4,mp4/T0107_B_temporal_0015.mp4
108,T0108,temporal,16,"0016 single-leg-lateral-hopping # 0.0 # 2.5 # legs # spine
dumbbell-side-bend # 2.5 # 4.9 # head # left arm # right arm # spine
arm-circling # 4.9 # 7.4 # left arm # right arm
dumbbell-shrugging # 7.4 # 9.8 # left arm # right arm
rope-skipping # 9.8 # 12.3 # head # left arm # legs # right arm # spine
single-leg-lateral-hopping # 12.3 # 14.7 # legs # spine",mp4/T0108_A_temporal_0016.mp4,mp4/T0108_B_temporal_0016.mp4
109,T0109,temporal,16,"0016 single-leg-lateral-hopping # 0.0 # 2.5 # legs # spine
dumbbell-side-bend # 2.5 # 4.9 # head # left arm # right arm # spine
arm-circling # 4.9 # 7.4 # left arm # right arm
dumbbell-shrugging # 7.4 # 9.8 # left arm # right arm
rope-skipping # 9.8 # 12.3 # head # left arm # legs # right arm # spine
single-leg-lateral-hopping # 12.3 # 14.7 # legs # spine",mp4/T0109_A_temporal_0016.mp4,mp4/T0109_B_temporal_0016.mp4
110,T0110,temporal,16,"0016 single-leg-lateral-hopping # 0.0 # 2.5 # legs # spine
dumbbell-side-bend # 2.5 # 4.9 # head # left arm # right arm # spine
arm-circling # 4.9 # 7.4 # left arm # right arm
dumbbell-shrugging # 7.4 # 9.8 # left arm # right arm
rope-skipping # 9.8 # 12.3 # head # left arm # legs # right arm # spine
single-leg-lateral-hopping # 12.3 # 14.7 # legs # spine",mp4/T0110_A_temporal_0016.mp4,mp4/T0110_B_temporal_0016.mp4
111,T0111,temporal,17,"knee-to-chest # 0.0 # 2.18 # legs # spine
pulling-chest-expanders # 2.18 # 4.68 # left arm # right arm
pulling-chest-expanders # 4.68 # 6.86 # left arm # right arm
punching # 6.86 # 9.36 # left arm # right arm
raising-hand-and-jumping # 9.36 # 11.54 # head # left arm # legs # right arm # spine
dumbbell-shrugging # 11.54 # 14.04 # left arm # right arm",mp4/T0111_A_temporal_0017.mp4,mp4/T0111_B_temporal_0017.mp4
112,T0112,temporal,17,"knee-to-chest # 0.0 # 2.18 # legs # spine
pulling-chest-expanders # 2.18 # 4.68 # left arm # right arm
pulling-chest-expanders # 4.68 # 6.86 # left arm # right arm
punching # 6.86 # 9.36 # left arm # right arm
raising-hand-and-jumping # 9.36 # 11.54 # head # left arm # legs # right arm # spine
dumbbell-shrugging # 11.54 # 14.04 # left arm # right arm",mp4/T0112_A_temporal_0017.mp4,mp4/T0112_B_temporal_0017.mp4
113,T0113,temporal,17,"knee-to-chest # 0.0 # 2.18 # legs # spine
pulling-chest-expanders # 2.18 # 4.68 # left arm # right arm
pulling-chest-expanders # 4.68 # 6.86 # left arm # right arm
punching # 6.86 # 9.36 # left arm # right arm
raising-hand-and-jumping # 9.36 # 11.54 # head # left arm # legs # right arm # spine
dumbbell-shrugging # 11.54 # 14.04 # left arm # right arm",mp4/T0113_A_temporal_0017.mp4,mp4/T0113_B_temporal_0017.mp4
114,T0114,temporal,18,"knee-to-chest # 0.0 # 2.24 # legs # spine
dumbbell-side-bend # 2.24 # 4.67 # head # left arm # right arm # spine
rope-skipping # 4.67 # 6.91 # head # left arm # legs # right arm # spine
dumbbell-one-arm-shoulder-pressing # 6.91 # 9.34 # left arm # right arm
rotation-clapping # 9.34 # 11.58 # head # left arm # right arm # spine
raising-hand-and-jumping # 11.58 # 14.01 # head # left arm # legs # right arm # spine",mp4/T0114_A_temporal_0018.mp4,mp4/T0114_B_temporal_0018.mp4
115,T0115,temporal,18,"knee-to-chest # 0.0 # 2.24 # legs # spine
dumbbell-side-bend # 2.24 # 4.67 # head # left arm # right arm # spine
rope-skipping # 4.67 # 6.91 # head # left arm # legs # right arm # spine
dumbbell-one-arm-shoulder-pressing # 6.91 # 9.34 # left arm # right arm
rotation-clapping # 9.34 # 11.58 # head # left arm # right arm # spine
raising-hand-and-jumping # 11.58 # 14.01 # head # left arm # legs # right arm # spine",mp4/T0115_A_temporal_0018.mp4,mp4/T0115_B_temporal_0018.mp4
116,T0116,temporal,18,"knee-to-chest # 0.0 # 2.24 # legs # spine
dumbbell-side-bend # 2.24 # 4.67 # head # left arm # right arm # spine
rope-skipping # 4.67 # 6.91 # head # left arm # legs # right arm # spine
dumbbell-one-arm-shoulder-pressing # 6.91 # 9.34 # left arm # right arm
rotation-clapping # 9.34 # 11.58 # head # left arm # right arm # spine
raising-hand-and-jumping # 11.58 # 14.01 # head # left arm # legs # right arm # spine",mp4/T0116_A_temporal_0018.mp4,mp4/T0116_B_temporal_0018.mp4
117,T0117,temporal,19,"jumping-jack # 0.0 # 2.14 # head # left arm # legs # right arm # spine
left-lunging # 2.14 # 4.64 # legs # spine
marking-time-and-knee-lifting # 4.64 # 6.78 # legs
squatting # 6.78 # 9.28 # legs # spine
standing-toe-touches # 9.28 # 11.42 # head # left arm # legs # right arm # spine
pinching-back # 11.42 # 13.92 # left arm # right arm",mp4/T0117_A_temporal_0019.mp4,mp4/T0117_B_temporal_0019.mp4
118,T0118,temporal,19,"jumping-jack # 0.0 # 2.14 # head # left arm # legs # right arm # spine
left-lunging # 2.14 # 4.64 # legs # spine
marking-time-and-knee-lifting # 4.64 # 6.78 # legs
squatting # 6.78 # 9.28 # legs # spine
standing-toe-touches # 9.28 # 11.42 # head # left arm # legs # right arm # spine
pinching-back # 11.42 # 13.92 # left arm # right arm",mp4/T0118_A_temporal_0019.mp4,mp4/T0118_B_temporal_0019.mp4
119,T0119,temporal,19,"jumping-jack # 0.0 # 2.14 # head # left arm # legs # right arm # spine
left-lunging # 2.14 # 4.64 # legs # spine
marking-time-and-knee-lifting # 4.64 # 6.78 # legs
squatting # 6.78 # 9.28 # legs # spine
standing-toe-touches # 9.28 # 11.42 # head # left arm # legs # right arm # spine
pinching-back # 11.42 # 13.92 # left arm # right arm",mp4/T0119_A_temporal_0019.mp4,mp4/T0119_B_temporal_0019.mp4
